,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,subs_rank,channel_views_rank
0,T-Series,245000000,2.28E+11,Music,T-Series,20082,India,IN,Music,1,1,2258000000,564600,9000000,6800000,108400000,2000000,2006,Mar,13,28.1,1366417754,5.36,471031528,20.593684,78.96288,1,1
1,YouTube Movies,170000000,0,Film & Animation,youtubemovies,1,United States,US,Games,7670,7423,12,0,0.05,0.04,0.58,0,2006,Mar,5,88.2,328239523,14.7,270663028,37.09024,-95.712891,988,988
2,MrBeast,166000000,28368841870,Entertainment,MrBeast,741,United States,US,Entertainment,1,1,1348000000,337000,5400000,4000000,64700000,8000000,2012,Feb,20,88.2,328239523,14.7,270663028,37.09024,-95.712891,50,50
3,Cocomelon - Nursery Rhymes,162000000,1.64E+11,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2,1,1975000000,493800,7900000,5900000,94800000,1000000,2006,Sep,1,88.2,328239523,14.7,270663028,37.09024,-95.712891,2,2
4,SET India,159000000,1.48E+11,Shows,SET India,116536,India,IN,Entertainment,2,2,1824000000,455900,7300000,5500000,87500000,1000000,2006,Sep,20,28.1,1366417754,5.36,471031528,20.593684,78.96288,3,3
5,Music,119000000,0,Unknown,Music,0,Unknown,Unknown,Music,Unknown,Unknown,0,0,0,0,0,0,2013,Sep,24,Unknown,Unknown,Unknown,Unknown,No Data,No Data,988,988
6,Kids Diana Show,112000000,93247040539,People & Blogs,ýýý Kids Diana Show,1111,United States,US,Entertainment,3,3,731674000,182900,2900000,2200000,35100000,0,2015,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891,5,5
7,PewDiePie,111000000,29058044447,Gaming,PewDiePie,4716,Japan,JP,Entertainment,1,4,39184000,9800,156700,117600,1900000,0,2010,Apr,29,63.2,126226568,2.29,115782416,36.204824,138.252924,44,44
8,Like Nastya,106000000,90479060027,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,5,25,48947000,12200,195800,146800,2300000,100000,2016,Jan,14,81.9,144373535,4.59,107683889,61.52401,105.318756,6,6
9,Vlad and Niki,98900000,77180169894,Entertainment,Vlad and Niki,574,United States,US,Entertainment,5,6,580574000,145100,2300000,1700000,27900000,600000,2018,Apr,23,88.2,328239523,14.7,270663028,37.09024,-95.712891,8,8
10,Zee Music Company,96700000,57856289381,Music,Zee Music Company,8548,India,IN,Music,3,2,803613000,200900,3200000,2400000,38600000,1100000,2014,Mar,12,28.1,1366417754,5.36,471031528,20.593684,78.96288,12,12
11,WWE,96000000,77428473662,Sports,WWE,70127,United States,US,Sports,6,1,714614000,178700,2900000,2100000,34300000,600000,2007,May,11,88.2,328239523,14.7,270663028,37.09024,-95.712891,7,7
12,Gaming,93600000,0,Unknown,Gaming,0,Unknown,Unknown,Games,Unknown,1,0,0,0,0,0,0,2013,Dec,15,Unknown,Unknown,Unknown,Unknown,No Data,No Data,988,988
13,BLACKPINK,89800000,32144597566,People & Blogs,BLACKPINK,543,South Korea,KR,Music,1,3,498930000,124700,2000000,1500000,23900000,700000,2016,Jun,29,94.3,51709098,4.15,42106719,35.907757,127.766922,32,32
14,Goldmines,86900000,24118230580,Film & Animation,goldmines,1,Unknown,Unknown,Music,Unknown,5663,18,0,0.07,0.05,0.86,0,2006,Aug,15,Unknown,Unknown,Unknown,Unknown,No Data,No Data,76,76
15,Sony SAB,83000000,1.01E+11,Shows,Sony SAB,71270,India,IN,Entertainment,5,7,1657000000,414300,6600000,5000000,79600000,1100000,2007,Aug,4,28.1,1366417754,5.36,471031528,20.593684,78.96288,4,4
16,5-Minute Crafts,80100000,26236790209,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4797,6781,1,0,0,0,0.05,0,2020,Jul,27,60,66834405,3.85,55908316,55.378051,-3.435973,65,65
17,BANGTANTV,75600000,20826993957,Music,BANGTANTV,2281,South Korea,KR,Music,2,4,168290000,42100,673200,504900,8100000,400000,2012,Dec,17,94.3,51709098,4.15,42106719,35.907757,127.766922,111,111
18,Sports,75000000,0,Unknown,sports,3,United States,US,Entertainment,6266,5395,16,0,0.06,0.05,0.77,0,2006,Jan,30,88.2,328239523,14.7,270663028,37.09024,-95.712891,988,988
19,Justin Bieber,71600000,30608119724,Music,Justin Bieber,249,Canada,CA,Music,1,6,176326000,44100,705300,529000,8500000,100000,2007,Jan,15,68.9,36991981,5.56,30628482,56.130366,-106.346771,37,37
