,OrderID,CustomerID,ProductID,ProductName,Category,Price,Quantity,OrderDate,DeliveryDate,PaymentMethod
4,a8adf0b5-0f83-46fe-82d9-a78d8a865288,8348962d-a3be-49a5-b750-d5d13f8e6abc,ELEC-00003,Laptop B,Electronics,2000.0,1.0,7/31/2022,8/8/2022,PayPal
5,f58317e1-6a5e-4bed-9342-17b10f643f3a,98e02211-5beb-4170-9805-2e24678e9d86,APPL-00012,Freezer,Appliances,800.0,5.0,6/27/2020,7/6/2020,Credit Card
8,2420f7b8-9497-45f9-ab0f-a861eb73e80c,e634dd5e-5fab-454f-a243-94c69574c0b5,INST-00005,Piano,Instruments,5000.0,4.0,11/28/2020,12/7/2020,PayPal
9,14418082-c81e-4bb3-b90d-0c235fec9dc4,164fe5b0-4002-414e-a14b-ac51ed1535b4,CLOT-00002,Skirt,Clothes,50.0,3.0,10/8/2022,10/8/2022,Cash
10,cbd98d45-e142-43a9-9cd3-d9d1a6098214,12336fe0-9b97-4f86-a529-39417e5372d1,APPL-00011,Microwave,Appliances,200.0,8.0,1/24/2021,1/29/2021,PayPal
11,531bbe12-9481-4ee3-ae76-a2e4c894dba3,854dc2ff-81a6-49c0-af8e-2b4a9268165d,ELEC-00003,Laptop B,Electronics,2000.0,1.0,12/10/2020,12/18/2020,Cash
12,62212ed3-3a98-4e94-82f2-b403bed46261,0e18f3b4-8821-406a-a34d-598e6f5b42b1,ELEC-00004,Tablet A,Electronics,400.0,5.0,4/24/2022,4/24/2022,Credit Card
16,5a3370e1-bb36-4f2d-b420-8f88204e978c,4ed57585-c530-48b7-866e-e6d4462c7526,CLOT-00002,Skirt,Clothes,50.0,6.0,6/1/2020,6/2/2020,Cash
17,3e1a8b72-4aa6-4bdb-ae82-a906d644bc96,cdf5576d-04cc-4a14-8978-2bdb22c26576,APPL-00002,Table,Appliances,200.0,10.0,12/22/2022,12/30/2022,Credit Card
19,53b841ce-9d2a-4311-bef7-7e9dcc737cd1,f7ee2cb6-5ce2-413f-8b46-949461b4e756,INST-00005,Piano,Instruments,5000.0,10.0,7/26/2020,7/27/2020,Credit Card
20,e2fbc51f-171d-4a80-9c60-e42999013aca,e89a2dd1-d9d7-4988-9714-cd19a1efc92c,ELEC-00003,Laptop B,Electronics,2000.0,8.0,9/5/2022,9/14/2022,Unknown
21,6f726da8-e575-4c67-9465-ee30057238b6,98e02211-5beb-4170-9805-2e24678e9d86,INST-00002,Drum,Instruments,1000.0,9.0,3/21/2020,3/27/2020,PayPal
22,3f16822f-f21f-4b6a-85e6-378c6aaa4989,64b80567-a602-4ff8-9d72-782005b3e49c,INST-00005,Piano,Instruments,5000.0,4.0,3/1/2022,3/9/2022,PayPal
24,0248d7c6-939d-47d0-8d08-67833be4780a,98e02211-5beb-4170-9805-2e24678e9d86,CLOT-00002,Skirt,Clothes,50.0,7.0,10/10/2022,10/12/2022,Unknown
26,af2bb0c1-73e1-4251-8680-2493c5e1a39e,3af302b1-7ee9-4074-93b9-41eb25d9f550,APPL-00001,Chair,Appliances,50.0,9.0,3/16/2020,3/24/2020,Credit Card
28,591f5d02-797a-4756-986d-fbf151a20460,7a9dcbb1-663e-4ffc-999c-4f593a1459a4,APPL-00010,AC,Appliances,800.0,10.0,5/17/2022,5/17/2022,Credit Card
29,c3d77180-9511-4d19-bb0b-fcdff11c5684,031c46f3-d7e1-4d5f-800c-132f7cc30198,INST-00004,Flute,Instruments,100.0,4.0,10/6/2021,10/14/2021,Credit Card
32,a106c3b3-b82d-4a07-a1f6-9da7485ad235,05dd4cc2-3dba-4a88-953e-14d9c2af25b9,APPL-00009,Fridge,Appliances,1000.0,7.0,6/14/2023,6/16/2023,Unknown
34,cfd677d9-f83d-4478-9b7d-d84f1b2123fb,c7db7eb9-13e6-4ab2-8b38-3b05af00fd36,INST-00004,Flute,Instruments,100.0,5.0,1/21/2020,1/23/2020,PayPal
37,e82a661e-89fc-4bcc-a046-3487db294fa5,adf40e10-7da7-434b-8947-d63f181827bd,APPL-00006,Stool,Appliances,30.0,7.0,4/27/2022,4/30/2022,PayPal
38,aff64eb2-4f76-4665-bedf-e33a74920039,bb395bf8-869e-40e1-85e0-bad58da5b064,APPL-00005,Rack,Appliances,50.0,9.0,1/5/2021,1/11/2021,Cash
42,d4d14863-a3f9-423f-ab1f-9e974a2d24f6,82e20c1a-03ed-4630-aa23-a58641aff9e5,APPL-00001,Chair,Appliances,50.0,10.0,2/22/2023,3/3/2023,Cash
44,c6c76ff4-7433-47e5-abd4-ec1de23d3a90,93377bed-d6eb-4123-b731-91a9a46af300,APPL-00011,Microwave,Appliances,200.0,3.0,11/7/2021,11/13/2021,PayPal
